sentence,sentiment,tokenized_text,emoji to text,emoji to text + stopwords
mc donalds đầu tiên của vn. mọi thứ ổn.,positive,mc donalds đầu_tiên của vn . mọi thứ ổn .,mc donalds đầu_tiên của vn . mọi thứ ổn .,mc donalds đầu_tiên vn ổn
"vì nó luôn luôn tốt, tuy nhiên tất cả macdonald sẽ phục vụ ít nhất một vài mặt hàng là thuần chay hoặc thuần chay. họ đang mất tích trên những khách hàng đó. sau nhiều giờ, nó chỉ là đơn đặt hàng pos và không phải là dịch vụ bàn. tuy nhiên điều đó tốt.",positive,"vì nó luôn_luôn tốt , tuy_nhiên tất_cả macdonald sẽ phục_vụ ít_nhất một_vài mặt_hàng là thuần chay hoặc thuần chay . họ đang mất_tích trên những khách_hàng đó . sau nhiều giờ , nó chỉ là đơn đặt_hàng pos và không phải là dịch_vụ bàn . tuy_nhiên điều đó tốt .","vì nó luôn_luôn tốt , tuy_nhiên tất_cả macdonald sẽ phục_vụ ít_nhất một_vài mặt_hàng là thuần chay hoặc thuần chay . họ đang mất_tích trên những khách_hàng đó . sau nhiều giờ , nó chỉ là đơn đặt_hàng pos và không phải là dịch_vụ bàn . tuy_nhiên điều đó tốt .",luôn_luôn tuy_nhiên tất_cả macdonald phục_vụ ít_nhất một_vài mặt_hàng chay chay mất_tích khách_hàng đơn đặt_hàng pos dịch_vụ bàn tuy_nhiên
cảm ơn mc cho hai bố con một buổi chiều vui vẻ,positive,cảm_ơn mc cho hai bố_con một buổi chiều vui_vẻ,cảm_ơn mc cho hai bố_con một buổi chiều vui_vẻ,cảm_ơn mc hai bố_con chiều vui_vẻ
"vị trí đẹp, tại trung tâm thành phố hcm",positive,"vị_trí đẹp , tại trung_tâm thành_phố hcm","vị_trí đẹp , tại trung_tâm thành_phố hcm",vị_trí đẹp trung_tâm thành_phố hcm
cũng vừa vị với đại đa số người dùng tại việt nam nhoa quí dị,positive,cũng vừa vị với đại_đa_số người dùng tại việt_nam nhoa quí dị,cũng vừa vị với đại_đa_số người dùng tại việt_nam nhoa quí dị,vị đại_đa_số việt_nam nhoa quí dị
kem ở đây thì ngon khỏi phải bàn rồi nhưng có nhiều lúc không có bàn để ngồi,positive,kem ở đây thì ngon khỏi phải bàn rồi nhưng có nhiều lúc không có bàn để ngồi,kem ở đây thì ngon khỏi phải bàn rồi nhưng có nhiều lúc không có bàn để ngồi,kem ngon bàn bàn
"mc donalds nằm ngay vòng xoay điện biên phủ, thuận tiện nhất là tạt xe vào là có ngay bãi giữ xe rộng bên phải. view ở đây khá đẹp, không gian rộng rãi rất thoải mái. tuy nhiên việc đặt mua khá rườm rà. hơi mất thời gian, dù có sự hỗ trợ của nhân viên.",neutral,"mc donalds nằm ngay vòng xoay điện_biên_phủ , thuận_tiện nhất là tạt xe vào là có ngay bãi giữ xe rộng bên phải . view ở đây khá đẹp , không_gian rộng_rãi rất thoải_mái . tuy_nhiên việc đặt mua khá rườm_rà . hơi mất thời_gian , dù có sự hỗ_trợ của nhân_viên .","mc donalds nằm ngay vòng xoay điện_biên_phủ , thuận_tiện nhất là tạt xe vào là có ngay bãi giữ xe rộng bên phải . view ở đây khá đẹp , không_gian rộng_rãi rất thoải_mái . tuy_nhiên việc đặt mua khá rườm_rà . hơi mất thời_gian , dù có sự hỗ_trợ của nhân_viên .",mc donalds nằm vòng xoay điện_biên_phủ thuận_tiện tạt xe bãi xe rộng view đẹp không_gian rộng_rãi thoải_mái tuy_nhiên mua rườm_rà hơi thời_gian hỗ_trợ nhân_viên
"ăn uống là ok. sau khi hoàn thành bữa trưa và gọi một số người thực sự khó chịu. chúng tôi có hóa đơn của chúng tôi với số lượng. có bảng với số lượng xử lý và sẵn sàng. khi số của tôi đã sẵn sàng và tôi đi lấy lại của tôi .. anh chàng thực sự thô lỗ. sao sao sao tôi chỉ thấy số của tôi trên bảng hiệu nói đã xong và tôi đi lấy của mình. vấn đề là gì sau đó, những người ở đó nói một cách thô lỗ cho kieu như vậy. mcdonalds có vấn đề hoặc nhân viên có vấn đề nếu dấu hiệu không sử dụng tốt hơn không sử dụng. không được sử dụng để bị mắng trong khi mua một cái gì đó. con tôi cũng bị sốc.",negative,"ăn_uống là ok . sau khi hoàn_thành bữa trưa và gọi một_số người thực_sự khó_chịu . chúng_tôi có hoá_đơn của chúng_tôi với số_lượng . có bảng với số_lượng xử_lý và sẵn_sàng . khi số của tôi đã sẵn_sàng và tôi đi lấy lại của tôi .. anh_chàng thực_sự thô_lỗ . sao sao sao tôi chỉ thấy số của tôi trên bảng_hiệu nói đã xong và tôi đi lấy của mình . vấn_đề là gì sau đó , những người ở đó nói một_cách thô_lỗ cho kieu như_vậy . mcdonalds có vấn_đề hoặc nhân_viên có vấn_đề nếu dấu_hiệu không sử_dụng tốt hơn không sử_dụng . không được sử_dụng để bị mắng trong khi mua một cái gì đó . con tôi cũng bị sốc .","ăn_uống là ok . sau khi hoàn_thành bữa trưa và gọi một_số người thực_sự khó_chịu . chúng_tôi có hoá_đơn của chúng_tôi với số_lượng . có bảng với số_lượng xử_lý và sẵn_sàng . khi số của tôi đã sẵn_sàng và tôi đi lấy lại của tôi .. anh_chàng thực_sự thô_lỗ . sao sao sao tôi chỉ thấy số của tôi trên bảng_hiệu nói đã xong và tôi đi lấy của mình . vấn_đề là gì sau đó , những người ở đó nói một_cách thô_lỗ cho kieu như_vậy . mcdonalds có vấn_đề hoặc nhân_viên có vấn_đề nếu dấu_hiệu không sử_dụng tốt hơn không sử_dụng . không được sử_dụng để bị mắng trong khi mua một cái gì đó . con tôi cũng bị sốc .",ăn_uống ok hoàn_thành trưa gọi một_số khó_chịu chúng_tôi hoá_đơn chúng_tôi số_lượng bảng số_lượng xử_lý sẵn_sàng sẵn_sàng .. anh_chàng thô_lỗ bảng_hiệu xong vấn_đề một_cách thô_lỗ kieu như_vậy mcdonalds vấn_đề nhân_viên vấn_đề dấu_hiệu sử_dụng sử_dụng sử_dụng mắng mua sốc
"không được phục vụ món ăn theo yêu cầu rất nhiều lần, cảm giác rất khó chịu",negative,"không được phục_vụ món ăn_theo yêu_cầu rất nhiều lần , cảm_giác rất khó_chịu","không được phục_vụ món ăn_theo yêu_cầu rất nhiều lần , cảm_giác rất khó_chịu",phục_vụ món ăn_theo yêu_cầu khó_chịu
mua mang đi hoặc ngồi lại đều có cảm nhận thoải mái và tin cậy,positive,mua mang đi hoặc ngồi lại đều có cảm_nhận thoải_mái và tin_cậy,mua mang đi hoặc ngồi lại đều có cảm_nhận thoải_mái và tin_cậy,mua cảm_nhận thoải_mái tin_cậy
không giam đỉnh của chóp rộng rãi thoáng mát. đồ ăn ngon. bị cái hay đông nên đôi khi phục vụ chậm. mình ghé miết luôn á,positive,không giam đỉnh của chóp rộng_rãi thoáng mát . đồ_ăn ngon . bị cái hay đông nên đôi_khi phục_vụ chậm . mình ghé miết luôn á,không giam đỉnh của chóp rộng_rãi thoáng mát . đồ_ăn ngon . bị cái hay đông nên đôi_khi phục_vụ chậm . mình ghé miết luôn á,giam đỉnh chóp rộng_rãi thoáng mát đồ_ăn ngon đông đôi_khi phục_vụ chậm ghé miết
máy điều hòa không khí xuất hiện tốt và nó rất tuyệt,positive,máy_điều_hoà không_khí xuất_hiện tốt và nó rất tuyệt,máy_điều_hoà không_khí xuất_hiện tốt và nó rất tuyệt,máy_điều_hoà không_khí xuất_hiện tuyệt
"rộng rãi, đông khách",positive,"rộng_rãi , đông khách","rộng_rãi , đông khách",rộng_rãi đông
đồ ăn khá là ngon đối với người yêu tôi,positive,đồ_ăn khá là ngon đối_với người_yêu tôi,đồ_ăn khá là ngon đối_với người_yêu tôi,đồ_ăn ngon đối_với người_yêu
"nó rất sạch sẽ, rộng rãi và đẹp. tất nhiên, nó cũng ngon, quá.",positive,"nó rất sạch_sẽ , rộng_rãi và đẹp . tất_nhiên , nó cũng ngon , quá .","nó rất sạch_sẽ , rộng_rãi và đẹp . tất_nhiên , nó cũng ngon , quá .",sạch_sẽ rộng_rãi đẹp tất_nhiên ngon
"thức ăn ngon, kem ngon, có bãi xe hơi và xe máy tốt",positive,"thức_ăn ngon , kem ngon , có bãi xe_hơi và xe_máy tốt","thức_ăn ngon , kem ngon , có bãi xe_hơi và xe_máy tốt",thức_ăn ngon kem ngon bãi xe_hơi xe_máy
"phần ăn như ảnh, đồ ăn và thức uống của mc thì không bàn cãi, khá ok và vừa vị với đại đa số người dùng. chi nhánh này ngay trung tâm nên dịch vụ phục vụ cũng như nhân viên khá tốt và thân thiện, có các máy order tự động cho mọi người thao tác dễ dàng hơn nếu đông khách có staff hướng dẫn tận tình. view trong và ngoài khá ok có thể nói chuyện cà phê cùng bạn bè cuối tuần, họp mặt và mọi người nhớ giữ bill khi gửi xe nhé 💋",positive,"phần ăn như ảnh , đồ_ăn và thức uống của mc thì không bàn_cãi , khá ok và vừa vị với đại_đa_số người dùng . chi_nhánh này ngay trung_tâm nên dịch_vụ phục_vụ cũng như nhân_viên khá tốt và thân_thiện , có các máy order tự_động cho mọi người thao_tác dễ_dàng hơn nếu đông khách có staff hướng_dẫn tận_tình . view trong và ngoài khá ok có_thể nói_chuyện cà_phê cùng bạn_bè cuối tuần , họp_mặt và mọi người nhớ giữ bill khi gửi xe nhé 💋","phần ăn như ảnh , đồ_ăn và thức uống của mc thì không bàn_cãi , khá ok và vừa vị với đại_đa_số người dùng . chi_nhánh này ngay trung_tâm nên dịch_vụ phục_vụ cũng như nhân_viên khá tốt và thân_thiện , có các máy order tự_động cho mọi người thao_tác dễ_dàng hơn nếu đông khách có staff hướng_dẫn tận_tình . view trong và ngoài khá ok có_thể nói_chuyện cà_phê cùng bạn_bè cuối tuần , họp_mặt và mọi người nhớ giữ bill khi gửi xe nhé :dấu hôn:",ảnh đồ_ăn thức uống mc bàn_cãi ok vị đại_đa_số chi_nhánh trung_tâm dịch_vụ phục_vụ nhân_viên thân_thiện máy order tự_động thao_tác dễ_dàng đông staff hướng_dẫn tận_tình view ok có_thể nói_chuyện cà_phê bạn_bè họp_mặt bill gửi xe :dấu hôn:
"phục vụ nhanh, không gian rộng rãi, sạch sẽ, ưng nhất là chỗ để xe ô tô khá thoải mái 😅",positive,"phục_vụ nhanh , không_gian rộng_rãi , sạch_sẽ , ưng nhất_là chỗ để xe ô_tô khá thoải_mái 😅","phục_vụ nhanh , không_gian rộng_rãi , sạch_sẽ , ưng nhất_là chỗ để xe ô_tô khá thoải_mái :mặt cười đầy mồ hôi:",phục_vụ không_gian rộng_rãi sạch_sẽ ưng nhất_là chỗ xe ô_tô thoải_mái :mặt cười mồ hôi:
order theo cách công tự bấm món. nhanh và dễ,positive,order theo cách công tự bấm món . nhanh và dễ,order theo cách công tự bấm món . nhanh và dễ,order công bấm món
"mcdonald thì mấy bạn khỏi hỏi đồ ăn ra sao rồi hen, chỗ này rộng rãi thoải mái lắm",positive,"mcdonald thì mấy bạn khỏi hỏi đồ_ăn ra sao rồi hen , chỗ này rộng_rãi thoải_mái lắm","mcdonald thì mấy bạn khỏi hỏi đồ_ăn ra sao rồi hen , chỗ này rộng_rãi thoải_mái lắm",mcdonald mấy đồ_ăn hen chỗ rộng_rãi thoải_mái lắm
"đôi khi, nơi này quá ồn ào để ăn vào.",positive,"đôi_khi , nơi này quá ồn_ào để ăn vào .","đôi_khi , nơi này quá ồn_ào để ăn vào .",đôi_khi ồn_ào
mọi thứ khá chuẩn như bạn mong đợi,positive,mọi thứ khá chuẩn như bạn mong_đợi,mọi thứ khá chuẩn như bạn mong_đợi,chuẩn mong_đợi
hamburger ngon,positive,hamburger ngon,hamburger ngon,hamburger ngon
"ngon , chất lượng không đổi",positive,"ngon , chất_lượng không đổi","ngon , chất_lượng không đổi",ngon chất_lượng đổi
"bây giờ là 24 giờ, vì vậy thật tốt khi ăn vào lúc bình minh",positive,"bây_giờ là 24 giờ , vì_vậy thật tốt khi ăn vào lúc bình_minh","bây_giờ là 24 giờ , vì_vậy thật tốt khi ăn vào lúc bình_minh",bây_giờ 24 vì_vậy bình_minh
siêu đông đúc trong bữa trưa thứ sáu,neutral,siêu đông_đúc trong bữa trưa thứ_sáu,siêu đông_đúc trong bữa trưa thứ_sáu,siêu đông_đúc trưa thứ_sáu
bạn muts trả 40.0 vnd cho 2 gói sốt cà chua và bắt đầu. không được chào đón.,negative,bạn muts trả 40.0 vnd cho 2 gói sốt cà_chua và bắt_đầu . không được chào_đón .,bạn muts trả 40.0 vnd cho 2 gói sốt cà_chua và bắt_đầu . không được chào_đón .,muts 40.0 vnd 2 gói sốt cà_chua bắt_đầu chào_đón
"đồ ăn, không gian vẫn ổn nhưng trải nghiệm dịch vụ rất tệ. mình và bạn đi buổi tối ngồi tầng trên vì tầng dưới đã kín người, lúc chuẩn bị ăn xong thay vì nhân viên đến nhắc bọn mình tầng trên gần đến giờ đóng cửa thì ok bọn mình sẵn sàng dọn dẹp đi về vì cơ bản tụi mình không biết giờ đóng lầu trên của chi nhánh này. đằng này không biết bạn nhân viên nào kêu hai bé gái đến chỗ bọn mình rồi nói năng rất mất lịch sự bảo đuổi khách trong khi vẫn còn vài bàn khách gần đó xong lúc bọn mình đang dọn bàn thì có một vài bạn nhân viên vừa dọn dẹp vừa nhìn chằm chằm tụi mình thái độ rất khó chịu. nói chung bọn mình cũng sơ ý không tìm hiểu giờ đóng lầu trên của quán nhưng cách xử lý của quán thiếu tôn trọng thật sự, thay vì nhắc nhở thiện chí thì lại lôi trẻ con ra chửi khách hàng lúc đó ngoài bàn tụi mình ra thì vẫn còn vài bàn của cô chú khác nhưng thay vì nhân viên đến nhắc nhở toàn bộ thì lại chỉ để con nít đến thẳng bàn tụi mình nói năng lớn tiếng đuổi khách hay do thấy bọn mình trẻ nên dễ ăn hiếp với không gian và chất lượng món ăn của một hãng thức ăn nhanh nổi tiếng như vậy mình mong quán xem xét cải thiện lại chất lượng dịch vụ cho xứng đáng để không còn khách hàng nào có trải nghiệm tồi tệ như bị xem thường kiểu này.",negative,"đồ_ăn , không_gian vẫn ổn nhưng trải_nghiệm dịch_vụ rất tệ . mình và bạn đi buổi tối ngồi tầng trên vì tầng dưới đã kín người , lúc chuẩn_bị ăn xong thay_vì nhân_viên đến nhắc bọn mình tầng trên gần đến giờ đóng_cửa thì ok bọn mình sẵn_sàng dọn_dẹp đi về vì cơ_bản tụi mình không biết giờ đóng lầu trên của chi_nhánh này . đằng này không biết bạn nhân_viên nào kêu hai bé gái đến chỗ bọn mình rồi nói_năng rất mất lịch_sự bảo đuổi khách trong khi vẫn còn vài bàn khách gần đó xong lúc bọn mình đang dọn bàn thì có một_vài bạn nhân_viên vừa dọn_dẹp vừa nhìn chằm_chằm tụi mình thái_độ rất khó_chịu . nói_chung bọn mình cũng sơ_ý không tìm_hiểu giờ đóng lầu trên của quán nhưng cách xử_lý của quán thiếu tôn_trọng thật_sự , thay_vì nhắc_nhở thiện_chí thì lại lôi trẻ_con ra chửi khách_hàng lúc đó ngoài bàn tụi mình ra thì vẫn còn vài bàn của cô_chú khác nhưng thay_vì nhân_viên đến nhắc_nhở toàn_bộ thì lại chỉ để con_nít đến thẳng bàn tụi mình nói_năng lớn_tiếng đuổi khách hay do thấy bọn mình trẻ nên dễ ăn_hiếp với không_gian và chất_lượng món ăn của một hãng thức_ăn nhanh nổi_tiếng như_vậy mình mong quán xem_xét cải_thiện lại chất_lượng dịch_vụ cho xứng_đáng để không còn khách_hàng nào có trải_nghiệm tồi_tệ như bị xem_thường kiểu này .","đồ_ăn , không_gian vẫn ổn nhưng trải_nghiệm dịch_vụ rất tệ . mình và bạn đi buổi tối ngồi tầng trên vì tầng dưới đã kín người , lúc chuẩn_bị ăn xong thay_vì nhân_viên đến nhắc bọn mình tầng trên gần đến giờ đóng_cửa thì ok bọn mình sẵn_sàng dọn_dẹp đi về vì cơ_bản tụi mình không biết giờ đóng lầu trên của chi_nhánh này . đằng này không biết bạn nhân_viên nào kêu hai bé gái đến chỗ bọn mình rồi nói_năng rất mất lịch_sự bảo đuổi khách trong khi vẫn còn vài bàn khách gần đó xong lúc bọn mình đang dọn bàn thì có một_vài bạn nhân_viên vừa dọn_dẹp vừa nhìn chằm_chằm tụi mình thái_độ rất khó_chịu . nói_chung bọn mình cũng sơ_ý không tìm_hiểu giờ đóng lầu trên của quán nhưng cách xử_lý của quán thiếu tôn_trọng thật_sự , thay_vì nhắc_nhở thiện_chí thì lại lôi trẻ_con ra chửi khách_hàng lúc đó ngoài bàn tụi mình ra thì vẫn còn vài bàn của cô_chú khác nhưng thay_vì nhân_viên đến nhắc_nhở toàn_bộ thì lại chỉ để con_nít đến thẳng bàn tụi mình nói_năng lớn_tiếng đuổi khách hay do thấy bọn mình trẻ nên dễ ăn_hiếp với không_gian và chất_lượng món ăn của một hãng thức_ăn nhanh nổi_tiếng như_vậy mình mong quán xem_xét cải_thiện lại chất_lượng dịch_vụ cho xứng_đáng để không còn khách_hàng nào có trải_nghiệm tồi_tệ như bị xem_thường kiểu này .",đồ_ăn không_gian ổn trải_nghiệm dịch_vụ tệ tối tầng tầng kín chuẩn_bị xong thay_vì nhân_viên nhắc bọn tầng đóng_cửa ok bọn sẵn_sàng dọn_dẹp cơ_bản tụi đóng lầu chi_nhánh đằng nhân_viên kêu hai bé gái chỗ bọn nói_năng lịch_sự bảo đuổi bàn xong bọn dọn bàn một_vài nhân_viên dọn_dẹp chằm_chằm tụi thái_độ khó_chịu nói_chung bọn sơ_ý tìm_hiểu đóng lầu quán xử_lý quán tôn_trọng thay_vì nhắc_nhở thiện_chí lôi trẻ_con chửi khách_hàng bàn tụi bàn cô_chú thay_vì nhân_viên nhắc_nhở toàn_bộ con_nít thẳng bàn tụi nói_năng lớn_tiếng đuổi bọn trẻ ăn_hiếp không_gian chất_lượng món hãng thức_ăn nổi_tiếng như_vậy mong quán xem_xét cải_thiện chất_lượng dịch_vụ xứng_đáng khách_hàng trải_nghiệm tồi_tệ xem_thường
đồ ăn hợp khẩu vị không gian thoáng mát,positive,đồ_ăn hợp_khẩu vị không_gian thoáng mát,đồ_ăn hợp_khẩu vị không_gian thoáng mát,đồ_ăn hợp_khẩu vị không_gian thoáng mát
"đồ ăn ngon, quán có máy lạnh mà ngồi gần cửa nóng mún xĩu, muốn đổi chỗ khác ngồi thì không còn chỗ",positive,"đồ_ăn ngon , quán có máy_lạnh mà ngồi gần cửa nóng mún xĩu , muốn đổi chỗ khác ngồi thì không còn chỗ","đồ_ăn ngon , quán có máy_lạnh mà ngồi gần cửa nóng mún xĩu , muốn đổi chỗ khác ngồi thì không còn chỗ",đồ_ăn ngon quán máy_lạnh cửa nóng mún xĩu đổi chỗ chỗ
chuyên nghiệp,positive,chuyên_nghiệp,chuyên_nghiệp,chuyên_nghiệp
"thương hiệu nước ngoài phục vụ chuyên nghiệp, nhanh chóng món ăn ngon, phù hợp với trẻ nhỏ và người lớn thích đồ ăn nhanh",positive,"thương_hiệu nước_ngoài phục_vụ chuyên_nghiệp , nhanh_chóng món ăn ngon , phù_hợp với trẻ nhỏ và người_lớn thích đồ_ăn nhanh","thương_hiệu nước_ngoài phục_vụ chuyên_nghiệp , nhanh_chóng món ăn ngon , phù_hợp với trẻ nhỏ và người_lớn thích đồ_ăn nhanh",thương_hiệu nước_ngoài phục_vụ chuyên_nghiệp nhanh_chóng món ngon phù_hợp trẻ người_lớn đồ_ăn
"đúng miếng ăn là miếng nhục vào mua mang về nhân viên lấy tiền xong kệ mẹ khách không nói một câu nào làm đợi hơn một tiếng đồng hồ nghĩ khách đông món không ra kịp đợi lâu quá lại hỏi mới biết phải đưa hoá đơn cho nhân viên khu vực bếp mới lấy được món ăn, một hãng lớn mà quá ngu xuẩn không đào tạo nổi cách nhân viên hướng dẫn khách hàng ư. một buổi tối tồi tệ và đầy ấm ức",negative,"đúng miếng ăn là miếng nhục vào mua mang về nhân_viên lấy tiền xong kệ mẹ khách không nói một câu nào làm đợi hơn một tiếng đồng_hồ nghĩ khách đông món không ra kịp đợi lâu quá lại hỏi mới biết phải đưa hoá_đơn cho nhân_viên khu_vực bếp mới lấy được món ăn , một hãng lớn mà quá ngu_xuẩn không đào_tạo nổi cách nhân_viên hướng_dẫn khách_hàng ư . một buổi tối tồi_tệ và đầy ấm_ức","đúng miếng ăn là miếng nhục vào mua mang về nhân_viên lấy tiền xong kệ mẹ khách không nói một câu nào làm đợi hơn một tiếng đồng_hồ nghĩ khách đông món không ra kịp đợi lâu quá lại hỏi mới biết phải đưa hoá_đơn cho nhân_viên khu_vực bếp mới lấy được món ăn , một hãng lớn mà quá ngu_xuẩn không đào_tạo nổi cách nhân_viên hướng_dẫn khách_hàng ư . một buổi tối tồi_tệ và đầy ấm_ức",miếng miếng nhục mua nhân_viên tiền xong kệ câu đợi tiếng đồng_hồ đông món kịp đợi hoá_đơn nhân_viên khu_vực bếp món hãng ngu_xuẩn đào_tạo nổi nhân_viên hướng_dẫn khách_hàng tối tồi_tệ ấm_ức
"đồ ăn ngon đúng với thương hiệu, không gian thoáng rộng, phục vụ nhiệt tình",positive,"đồ_ăn ngon đúng với thương_hiệu , không_gian thoáng rộng , phục_vụ nhiệt_tình","đồ_ăn ngon đúng với thương_hiệu , không_gian thoáng rộng , phục_vụ nhiệt_tình",đồ_ăn ngon thương_hiệu không_gian thoáng rộng phục_vụ nhiệt_tình
"nhà vệ sinh hơi dơ và mùi, cần cải thiện",positive,"nhà_vệ_sinh hơi dơ và mùi , cần cải_thiện","nhà_vệ_sinh hơi dơ và mùi , cần cải_thiện",nhà_vệ_sinh hơi dơ mùi cải_thiện
"phòng thiết kế tối giản, giường rộng sạch sẽ, mình đặt phòng nhỏ nhưng rất đầy đủ tiện nghi, bonus anh lễ tân thân thiện chu đáo.",positive,"phòng thiết_kế tối_giản , giường rộng sạch_sẽ , mình đặt phòng nhỏ nhưng rất đầy_đủ tiện_nghi , bonus anh lễ_tân thân_thiện chu_đáo .","phòng thiết_kế tối_giản , giường rộng sạch_sẽ , mình đặt phòng nhỏ nhưng rất đầy_đủ tiện_nghi , bonus anh lễ_tân thân_thiện chu_đáo .",phòng thiết_kế tối_giản giường rộng sạch_sẽ phòng đầy_đủ tiện_nghi bonus lễ_tân thân_thiện chu_đáo
"ăn cũng tạm được, cũng như các thương hiệu gà khác. nhưng dịch vụ và không gian quán thì ok thôi rồi.",positive,"ăn cũng tạm được , cũng như các thương_hiệu gà khác . nhưng dịch_vụ và không_gian quán thì ok thôi rồi .","ăn cũng tạm được , cũng như các thương_hiệu gà khác . nhưng dịch_vụ và không_gian quán thì ok thôi rồi .",tạm thương_hiệu gà dịch_vụ không_gian quán ok
được rồi,positive,được rồi,được rồi,
"thức uống được,",positive,"thức uống được ,","thức uống được ,",thức uống
24 giờ được khuyến khích mở,positive,24 giờ được khuyến_khích mở,24 giờ được khuyến_khích mở,24 khuyến_khích
"vị trí thuận tiện hẹn hò gặp gỡ, nhiều chổ đậu xe ô tô và xe 2 bánh tải app mcdonald để nhận thông báo khuyến mãi",neutral,"vị_trí thuận_tiện hẹn_hò gặp_gỡ , nhiều chổ đậu xe ô_tô và xe 2 bánh tải app mcdonald để nhận thông_báo khuyến_mãi","vị_trí thuận_tiện hẹn_hò gặp_gỡ , nhiều chổ đậu xe ô_tô và xe 2 bánh tải app mcdonald để nhận thông_báo khuyến_mãi",vị_trí thuận_tiện hẹn_hò gặp_gỡ chổ đậu xe ô_tô xe 2 bánh tải app mcdonald thông_báo khuyến_mãi
phòng tắm quá bẩn,neutral,phòng tắm quá bẩn,phòng tắm quá bẩn,phòng tắm bẩn
"không gian rộng rãi, thoáng mát, sạch sẽ và view đẹp . nằm ngay vòng xuyên đi ra quận 1. trong cửa hàng, nhiều máy tự order và thanh toán nên rất thuận tiện cho khách hàng lựa chọn món một cách nhanh chóng. và bên mc donalds đang có chương trình khuyến mãi cho các bạn lần đầu tải app của hãng về sẽ tặng một phần gà và khoai tây chiên nhỏ. gà giòn, trong mềm, mình chọn vị cay ăn cũng tạm ổn theo cảm nhận của cá nhân mình. kem ở đây thì mình không thích vị này cho lắm. app đang có rất nhiều chương trình khuyến mãi và có nhiều combo cho các bạn lựa chọn. lẹ tay đi ăn thôi nhé mọi người",positive,"không_gian rộng_rãi , thoáng mát , sạch_sẽ và view đẹp . nằm ngay vòng xuyên đi ra quận 1 . trong cửa_hàng , nhiều máy tự order và thanh_toán nên rất thuận_tiện cho khách_hàng lựa_chọn món một_cách nhanh_chóng . và bên mc donalds đang có chương_trình khuyến_mãi cho các bạn lần đầu tải app của hãng về sẽ tặng một phần gà và khoai_tây chiên nhỏ . gà giòn , trong mềm , mình chọn vị cay ăn cũng tạm ổn theo cảm_nhận của cá_nhân mình . kem ở đây thì mình không thích vị này cho lắm . app đang có rất nhiều chương_trình khuyến_mãi và có nhiều combo cho các bạn lựa_chọn . lẹ tay đi ăn thôi nhé mọi người","không_gian rộng_rãi , thoáng mát , sạch_sẽ và view đẹp . nằm ngay vòng xuyên đi ra quận 1 . trong cửa_hàng , nhiều máy tự order và thanh_toán nên rất thuận_tiện cho khách_hàng lựa_chọn món một_cách nhanh_chóng . và bên mc donalds đang có chương_trình khuyến_mãi cho các bạn lần đầu tải app của hãng về sẽ tặng một phần gà và khoai_tây chiên nhỏ . gà giòn , trong mềm , mình chọn vị cay ăn cũng tạm ổn theo cảm_nhận của cá_nhân mình . kem ở đây thì mình không thích vị này cho lắm . app đang có rất nhiều chương_trình khuyến_mãi và có nhiều combo cho các bạn lựa_chọn . lẹ tay đi ăn thôi nhé mọi người",không_gian rộng_rãi thoáng mát sạch_sẽ view đẹp nằm vòng xuyên 1 cửa_hàng máy order thanh_toán thuận_tiện khách_hàng lựa_chọn món một_cách nhanh_chóng mc donalds chương_trình khuyến_mãi tải app hãng tặng gà khoai_tây chiên gà giòn mềm vị cay tạm ổn cảm_nhận cá_nhân kem vị lắm app chương_trình khuyến_mãi combo lựa_chọn lẹ
"dịch vụ khách hàng khủng khiếp. tôi đã đến đó để đến icecream đêm qua với người phụ nữ của tôi và đặt mua oreos icecream nhưng các nhân viên đáng ngạc nhiên nói rằng họ không có cốc nhựa cho nó chỉ là cốc nhựa cho icecream tiêu chuẩn. khi tôi hỏi về điều này, họ nói đùa rằng cốc nhựa của tôi ở trong đại dương. nhân viên được đào tạo kém.",negative,"dịch_vụ khách_hàng khủng_khiếp . tôi đã đến đó để đến icecream đêm qua với người phụ_nữ của tôi và đặt mua oreos icecream nhưng các nhân_viên đáng ngạc_nhiên nói rằng họ không có cốc nhựa cho nó chỉ là cốc nhựa cho icecream tiêu_chuẩn . khi tôi hỏi về điều này , họ nói đùa rằng cốc nhựa của tôi ở trong đại_dương . nhân_viên được đào_tạo kém .","dịch_vụ khách_hàng khủng_khiếp . tôi đã đến đó để đến icecream đêm qua với người phụ_nữ của tôi và đặt mua oreos icecream nhưng các nhân_viên đáng ngạc_nhiên nói rằng họ không có cốc nhựa cho nó chỉ là cốc nhựa cho icecream tiêu_chuẩn . khi tôi hỏi về điều này , họ nói đùa rằng cốc nhựa của tôi ở trong đại_dương . nhân_viên được đào_tạo kém .",dịch_vụ khách_hàng khủng_khiếp icecream phụ_nữ mua oreos icecream nhân_viên ngạc_nhiên cốc nhựa cốc nhựa icecream tiêu_chuẩn đùa cốc nhựa đại_dương nhân_viên đào_tạo kém
cánh gà rất ngon. hamb nhiều sốt quá nên hơi chua.,positive,cánh_gà rất ngon . hamb nhiều sốt quá nên hơi chua .,cánh_gà rất ngon . hamb nhiều sốt quá nên hơi chua .,cánh_gà ngon hamb sốt hơi chua
rất nhiều máy bán hàng tự động,positive,rất nhiều máy bán hàng tự_động,rất nhiều máy bán hàng tự_động,máy hàng tự_động
