name,text,stars
Trong Tran,Rất tốt,5
Hải Hà Hồng,"Không gian rộng rãi thoáng mát,có nhiều chỗ đậu xe hơi,thích hợp tổ chức sinh nhật cho trẻ em",4
Tú Trương Công,"Khá rộng 1 tầng. Có nhiều máy tự order.
Có nhiều chỗ ngồi",4
Thái Ngọc Thuần Lớp 3/1,"Mang đồ ăn ra cho khách, không lần nào đủ món trên hoá đơn. Khách phải tự đi lấy món thiếu, bánh mỳ ngọt không làm nóng cho khách. Nhân viên mang đồ ăn đến cũng không lấy món cho khách, để khách tự đi",2
Luu Thi Ngoc Tran (Sadinos),,5
John Blain,,5
phát nguyễn,,5
Tuấn Hiệp Trần,"Như bao cửa hàng McDonald’s khác.
Khác biệt lớn là điềm mọi người tập trung truớc khi đi tour.",4
Sebastien Gillig,,4
Le Quoc Hoa,,5
Ngoc Truong,Cơm mắm tỏi gà cay siêu ngon. Tải app sẽ có khuyến mãi nhưng đi ăn theo nhóm lợi hơn,4
Dao Ngoc Tuan,Dịch vụ ok kiểu USA,5
Rain 007,,4
Nhi Huỳnh,"The food is delicious, the staff is friendly.",5
Hong Do,,4
Trung Huu,,5
Trí Phạm Minh,,4
Tung HT,,5
Saigon Scenes,,5
8674_ Lê Anh Thư,"Trải nghiệm tệ. Nhân viên thì ok nhưng đồ ăn xuống cấp hẳn nha. Burgers thì khô miếng bánh như để qua ngày lâu r. Nước ngọt mình mua size nhỏ và size vừa. 1 li nghe mùi mốc và như mùi nước không tên lm từ đá tan ra ấy, 1li thì nhạt ko có nổi ga luôn . Gà khô cũ ko như ord chi nhánh khác về Tệ!!!!!!! Đặt app khác ăn tại quán vậy trời!",1
Hùng Lĩnh Phan,,5
Đăng Khoa Nguyễn,,3
Giau Van,,5
BIG PRO HD PHIM,Tốt rất tốt là đằng khác,5
Quang Đặng,"Cửa hàng thức ăn nhanh, chủ yếu hamburger và gà rán, mức giá tầm trung, phục vụ tốt, có hệ thống Drive-thru bạn có thể order và nhận thức ăn mà không cần vào quầy",4
OriginalMiX !,,5
tuan gordexus,WC chưa sạch lắm,4
Altinho Dourado,"Staff very bad, no manner how to talk to customer. I work as pilot. If anyone has problem. Don’t judge come her and see people don’t have manner. In Vietnam they cannot have a drive thru also cause they cannot deliver fast.",1
Huynh Xuan Nhan,"Ngày cuối tuần rất đông, nhưng đồ ăn ra vẫn rất nhanh nhé! đồ ăn rất OK.",5
Long Nguyễn Vũ Ngọc,,3
Ngọc Tấn Nguyễn,"Quick service, nice attitude.",5
thinh nguyen,"Đồ ăn cũng chấp nhận được, vị trí thuận tiện cho mua mang đi",4
Sơn Nguyễn,,5
BCĐ - Thanh Phong,,4
Chi Bảo Trần Lương (Delyse),"Không gian đông đúc, ồn ào, nhiều trẻ em, chỉ có 1 nhà vệ sinh chung nam nữ, bãi xe ok. Thức ăn ổn, mang ra còn nóng.",4
Thành Đạt Huỳnh,"Ngày 2.4 mình có đến đây dùng bữa, khi vừa bưng đồ ăn lên lầu, mình có để đồ ăn xuống, k hiểu lí do gì, do mình khác người hay mình làm gì sai, có 1 bạn nhân viên, cứ đi qua đi lại liếc liếc nhìn mình, 3 4 lần như vậy, làm cảm giác nhưng mình đến ăn làm bạn đó khó chịu vậy, theo mình nhớ bạn nhân viên này nhuộm tóc màu tím hay xanh tím gì đó. Mong là lần sau đừng có liếc khách hàng.",2
Huy Thái,Good,5
Hau Vu,"Dich vụ rất tốt, đồ ăn ngon",5
Hạnh Phạm Kim Thiên,,3
Truong An Nhien,,4
Thuong Nguyen,"Một trong hai cửa hàng McDonald mở 24/24 ở Sài Gòn. Bãi xe đủ lớn để bạn có thể ngồi lại dùng bữa, hoặc có thể mua thông qua drive thru.",5
Aleksandr Riabinin,,5
Romain Gouttefangeas,Nice restaurant in global ! Like it 👌,4
Richard Ibarra,Always a great late night go to,5
Huy Nguyen,,5
Kelvin Tran,,4
Nhut Nguyen,,5
brent h,,5
Hoang Trung Kien,"Bảo vệ giữ xe máy vào lúc 13h30 ngày 28/03/2023 ăn nói mất dạy, thái độ bất lịch sự với khách hàng!",1
Bui Huu Toan,,5
Doan Chi Trung,,3
Phi Tran,,5
Benjamin Zindel,"Basically I like that place because they are open 24 hours every day and I also order there regularly.

Tonight I went on-site and they severed a friend of mine this chicken. We claimed that it’s not fully cooked, but three people (including the manger) told us that it’s cooked enough. From my point of view it’s not, that’s why I give only 2 stars. You can judge by yourself",2
Công ty Nhạc Việt,,4
Dat Phan Y,"Wf chán lắm, không bao giờ chạy nổi cái trang để bấm kết nối cả.",1
Phin Phin,lý trương ngồi tám khuya.,4
Diễm My Lê,,5
Thai Ton,,4
Sam 55234,,5
Tan Tai Nguyen,,5
cuong anh,,4
Giang Nguyen,,5
Hoàng Long Vũ,,4
Đỗ Chi,10₫,5
VoMinh Hoang,,4
Nhật Trường Nguyễn Đình,"Tôi đã đến McDonald's này vào một buổi trưa để thử các sản phẩm mới và trải nghiệm của tôi khá đáng nhớ. Nhà hàng được trang trí đẹp mắt và tạo cảm giác sạch sẽ và thoải mái cho khách hàng.

Nhân viên phục vụ nhanh chóng và thân thiện, họ luôn sẵn sàng giúp đỡ và tư vấn cho tôi trong việc chọn món ăn. Tất cả các món ăn đều được chế biến tươi ngon và đảm bảo vệ sinh an toàn thực phẩm.

Tuy nhiên, tôi cảm thấy giá cả của McDonald's khá cao so với các nhà hàng fast food khác trong khu vực. Ngoài ra, đôi khi nhà hàng có thể khá đông đúc và bạn sẽ phải chờ đợi trong hàng để đặt hàng của mình.

Tổng thể, tôi rất hài lòng với trải nghiệm của mình tại McDonald's này và tôi sẽ khuyên bạn đến đây nếu bạn đang tìm kiếm một lựa chọn ăn uống nhanh và tiện lợi. Tuy nhiên, bạn cần phải sẵn sàng trả giá cao hơn so với các nhà hàng fast food khác.",5
Alexandre TRAN,ce lieu peut partager avec les amis quelque échange sur une table tranquille,4
Thện Trần,,5
Trần Xuân Thăng,,4
Quang Thái Vũ,,5
Thanh Nhã Lê,,5
Phi Trinh,,5
Lim Chong Han,Great pit stop for travellers. Easy to call a grab as it's so conveniently located too.,5
truong vu phan,,5
Quân Thanh,,5
Tri Truong (Dat's Vlog),"Today I ordered 2 McRoyal Deluxe with extra sauces, triple pickles and extra onions. But both burger came with no extras at all, and very soggy, so i guessed they forgot and ignored the extras. After finishing the meal 1 staff in an ""ao dai"" came and checked my bill. She apologized since the staff mistakenly gave me 2 wrong burgers. She offered me new burgers, or a voucher for a free burger next time. I denied all and said its all ok. She was very friendly and washed away my disatisfaction (i dont have her name). I told her i am totally fine, so she went away, but she came back with an ice cream for me. This made my day and i have rarely seen such a care, despite dining in many places, facing way bigger mistakes where they wouldnt even care about it. Kindly help to convey my deepest thanks to that girl im the white Ao Dai and pony tail :)",4
Hong Phong Ha,,5
Tom Tom,,3
Đạo Nguyễn Quang,"Món ăn ở đây khá ổn, nhưng hôi mùi cóng hôi mùi",5
Hậu Nguyễn Phúc,Need to check Restroom everytime. Not Clean,2
Huy Tran,"Ổn , nhưng thức ăn nhanh mà ở vn zậy hơi mắc",5
Yvette Leonard,,3
Hoang Anh,,4
Cương Nguyễn,,5
Vinh Son Nguyen Dinh,,5
Tường Đặng,Ngon lắm,5
MAI TRINH,Tuyệt,5
Minh Định,Best place for newbie foreigners,5
Tuấn Kiệt,Quán khá là đông. Nv phục vụ nhiệt tình,5
Sarthak Vats,,5
Man Tran,,4
Hiểu Đông Nguyễn Huỳnh,,5
Bình Nguyễn,Rất tốt.  Nên ăn uống tại đây. Shipper Grapfood rất nhiệt tình,5
Dutrung Dang,Sạch sẽ và thoáng mát,5
Bo xamxit,Nơi tụ tập xuất phát của a e moto,5
Tú Hà Minh,Không gian rộng đẹp,5
Do Phu Hai,,3
Hùng Nguyễn thanh,Khá OK,5
Sam D,,5
Cương Liêu,,5
Duy Toàn Trừ,"Thất vọng tràn trề, là thương hiệu nổi tiếng nhưng nhân viên cực kỳ coi thường khách hàng. Tôi đứng đặt đơn hơn 15 phút cho gia đình ra đến quầy tính tiền nhân viên nói hết món. Tôi nói tại sao hết món mà không dỡ xuống để khách mất hết 15' đặt hàng. Tôi kêu quản lý thì qly trốn mất chẳng dám ra gặp. Nhân viên nói giọng ngô nghê như thể không cần khách.",1
Tân Minh,,5
Ly Na Phan,"Restaurant is big and crowed at lunch time. Staffs are friendly, nice. They serves the food very fast. The restaurant have promotion vouchers for the next time",4
Kiên Nguyễn Văn,"Tiện chỗ để xe, đồ ăn và nước uống quá dở",3
van nguyen,,5
MOON HOUSE,Thích,5
Vũ Bùi,,3
Si Tran,"Arrange a birthday meal for more than 10 kids here and the process to assist client from the staff to simply reserving table and ordering the food were too bad, zero sense of hospitality and totally out of basic training! most ridiculous experience was whilst the kids were selecting food items from menu cart, a reckless waitress came to ask having back the menu just because there is a foreigner client is looking for it?! I'm wondering how their management think about this service standard!",1
Diễm Quỳnh Nguyễn Lê,"Không gian rộng rãi, phù hợp chill và học bài, tích hợp quán nước và đồ ăn, đồ ăn lên món siêu nhanh, sạch sẽ, luôn tươi mới, phục vụ tận tình, có các máy để tính tiền trực tiếp ko cần ra quầy",5
Pham Huy Thang,,4
Binz Boiz,Biết là không healthy nhưng ăn khoai tây chiên rất cuốn,5
Gemmy Phan,"Nice place for meeting your friends here. Good view, good space. It has free parking for cars and motorbikes (with your receipt).",5
Linh Nguyễn Thị Thúy,"The food tastes quite good here. The staffs are friendly to help me use McDonald's app. The plus for this branch is the environment: a large sitting place where can see the street (noisy outside but quiet upstairs). The parking fee is free if you give the guard the bills. And the oreo ice cream matcha is delicious, should try.",5
Nishkid641,,5
Orcodice,,5
Luan Nguyen,,5
Quang Minh,,5
Tuân Phạm Hoàng,Bảo vệ không thân thiện. Tầng trệt tolet nam và nữ sử dụng chung.,5
Lam Tien Pham,Ok,5
thuy duong doan,"Burger ngon, gà rán ok",5
hoang nguyen,,4
Trương Hoàng Vũ,Đáng để trải nghiệm và thưởng thức,5
Huyen Vu,,3
Nguyễn Võ,,5
Huong Vu,,5
Nhat Tranvan,,4
thạch phạm,,5
Soo Nguyen,,5
Andru Vo,"Organized, clean and fast service. Quality of food and variety of selection is also good.",5
Uyen Napier,,5
Bắc Nguyễn,,3
Phi Nguyễn Kim,,5
Store Bảo Cường (Bán đồ chơi trẻ em),"Không gian rộng rãi thoáng, nhân viên chuyên nghiệp, đặt đồ ăn dễ dàng, bãi xe rộng rãi",4
Dinh Ngoc Ngo,,5
Tiểu Phượng,,5
Helena Tran,,4
Tuan Anh Huynh,,5
Huang Edward,,5
Ngô Minh Đức,,3
Thanhnghiem 777,,5
Những Chú Bé Hài TV,,5
Phuc Le,,5
Phương Lê,Vui,4
Emma Lee,Ăn ở đây bị ỉa chảy ạ,1
Phuc Le Thanh,,5
Mike Booth,Not a good time to visit they were doing construction during the lunch hour.,3
Duong NguyenDai,Không gian thoáng. Thức uôang ngon. Có bãi đỗ xe ô tô...,4
Thư Phạm Thị Anh,"Lúc ăn dư mang về, nhân viên ko cho tương mang về mà bán 2k 2 bịch tương, xin hủ đựng mayonnaise thì bảo là hủ hạn chế, lấy thì bán 5k một hủ, vcl kinh doanh dữ vậy lun, nhà hàng phục vụ ăn uống đấy ạ, thêm mụ quản lí nữa, 5k một hủ á chị :)))) Vậy chẳng khác nào đi ăn cơm tấm, xin thêm bịch nước mắm bán 5k một bịch, ở VN ko có quán cơm tấm nào như vậy hết!",1
Cường Trương,,5
An Phạm,,4
Nguyễn Quang Hiển,,5
Nguyễn Tuấn,,5
Tâm Lê,,5
viet tran,Chất lượng,5
Moses P,"The staffs can speak english and friendly! The foods are hot and fresh. The place is always busy, and messy.. they need to do more cleaning. Also, it should be smoke free outside! Overall, it is ok to hang around as it is open 24/7.",4
Nguyễn Thiện Nhân,"Đồ ăn khá ngon, phục vụ nhanh, sạch sẽ, có máy bán hàng tự động để thực hiện order giảm việc xếp thành hàng dài",4
NGUYEN Tuan Anh,,5
Nhat Khanh Le Hoang,,5
Nhật Dạ Studio PHÒNG THU VIỆT,"Nhà hàng mở cửa từ rất sớm, khu vực này rất rộng rãi có thể đậu xe thoải mái",5
Ronard GSM,"Khu này đồ ăn ngon, mỗi tội có cái cống hôi ăn mất ngon.",3
Kien Cuong Ngo,"Đồ ăn ngon, ra món nhanh. Quán quá đông và ồn",4
주바리JOOBARI,,1
trinh Vo,"Thích nhất dịp Tết có phiên bản khoai tây xoắn, chỉ có giá hơi chát tí nhưng mà khoai tây bị vỡ nhiều không ra dạng xoắn hơi tiếc.",5
Trung Nguyễn,"Very poor service. No support from staffs. After struggling myself with the ordering machines, they just came in and asked me join the queue without any prior support. And I had to wait 1hr in total for my food.",1
Viet Studio,Toilet ở đây thật kinh khủng,1
Lan Anh,,5
Hai Yen Nguyen,,5
Thủy 114 Bích,"Đồ ăn ngon.
Dịch vụ tốt.
Không gian rộng,thoáng,mát.
Nên thử.",5
Lộc Huỳnh,,5
Hanna Lê,"ngoại trừ việc khách đông, ồn ào thì còn lại mình thấy đều ổn.",4
Thanh Phat Dao,,5
Hoang Minh Thang Nguyen,"Không gian rộng rãi, thoáng mát, sạch sẽ và view đẹp .
Trong cửa hàng, nhiều máy tự order và thanh toán nên rất thuận tiện cho khách hàng lựa chọn món một cách nhanh chóng.
Gà rán giòn, ngon.
Hamburger hấp dẫn.
Nếu bạn cài app thì sẽ có nhiều combo, và khuyến mãi hấp dẫn.",4
FuckUcow Super,Quán  quá  tê tham tiền  mất  dạy,1
van thanh,Tôi gọi để  đặt  bánh gần 10 cuộc gọi  nhưng không ai bắt máy. Cung cách phục vụ xem thường khách hàng  quá sức.,1
Nam Nguyen,,1
Chương Trần,,5
Chi Huy,,5
Hoàng Văn,,5
Lê Minh Nhật,"Do không có tiền mặt, nên thanh toán bằng thẻ, xong hệ thống bị lỗi, tiền trong tài khoản thì trừ, hoá đơn thì không xuất, Nhân Viên k có cách xử lí phù hợp , đi mua đồ ăn mà tiền thì bị mất, đồ ăn thì không có, sau này gắn bảng không thanh toán bằng thẻ luôn đi, mất cảm tình với 1 hệ thống lớn như này
“Nhân viên thì đông quá trời, rồi cứ bắt đứng xếp hàng dài chờ order món bằng máy tự động quá lâu “",1
thanh nguyen,"Tôi đặt mua, 4 cái big mac và 4 đùi gà lẻ, có hỏi trước nhân viên bán hàng có đc 4 đùi k, nhân viên báo 2 đùi, 2 má đùi, tôi ok. Vì nhà trẻ con, đứa nào cũng đòi ăn đùi. Mua về nhà mở ra 3 cái ức gà và 1 cái đùi. Nếu k được thì ngay từ đầu phải nói với khách. Để tôi biết tôi ăn món khác. Chứ bán hàng xong rồi giao vậy khác nào lừa đảo khách, Đã hỏi rõ ràng hỏi đj hỏi lại 3 lần. Lần sau k bao giờ mua quán này nữa. Quán nên coi lại cách trả lời khách hàng của nhân viên. Nếu k được thì nói là k được.",1
Di Hay,"Cửa hàng áp dụng hình thức đặt món online tại chỗ. Khách bấm chọn sản phẩm trên màn hình, xong thì máy sẽ in ra tờ số thứ tự.
Mang tờ in đến quầy tính tiền thanh toán các món đã order.
Xong thì sang quầy kế bên chờ báo số để nhận món ăn đã order.
Quầy nước order riêng.
Nhân viên thân thiện.",5
Yên Trần,,5
Bui Van Dong,,4
Duong Nguyen H.,,5
Matteo Paolocci,,5
hai nguyen,Good,4
Pankaj Kumar,"Crowded & not cleaned
Although big but still needs some management",3
"Yoon Sung_YS Kim, (YS)",,4
Huu Hieu Nguyen,,4
Báu Nguyễn Hoàng,Nhân viên phục vụ nhiệt tình phục vụ chu đáo ok,5
Phat Dang,,5
ЖБ EB,The staff serve their own staff and friends in front of customers. There are at least 10 people in the kitchen who would rather clean everything than finish about 6 open orders. Date 7th January at 04:02 in the night 🤷🏻‍♂️,1
Nhan Mai,,5
Huy Gia Tran,,5
Hai ThuAn,,5
NHoa Hoàng,Hambuger ngon,5
Anna Nguyen,,5
Hai Thanh Le,,5
Hung Dang,,4
Rex Lee,,5
Joe Hambloch,Who can find the difference..,2
Tiến Điệp Nguyễn,,5
Xuanlan Vu,Gà ngon. Kem đặc biệt rất ngon. Có 4-5 loại sốt cho gà. Tải app sẽ có thêm nhiều khuyến mãi.,5
Anh Phong Nguyen,,5
Jrs Salazar,,4
Quy Hoang,,1
Dao Nguyen Anh,,5
Nguyen RUBY,"Nằm ở góc vòng xoay Điện Biên Phủ, điểm ngồi nhấm nháp, tâm sự với bạn bè được coi là ""khu đất vàng"".
Fastfood nổi tiếng thế giới nên không phải bàn về khẩu vị, quan trọng là bạn thích khẩu vị này như thế nào thôi.
Tự do, thoải mái, thoáng mát - là ưu điểm ở đây.",5
Vo Tung,"Quán rộng rãi, có bãi đỗ xe, nhân viên nhiệt tình, chuyên nghiệp.",5
Duyên Hồ Ngọc Phương,"Bàn bên ngoài chill, thoải mái.",5
Kidier Ng,The taste in Vietnam not too yummy.Goid thing is they provide more choices of sauce & got mynonise too,3
son nguyen hong,,5
Tran Ha Duy,,5
Khánh Trần,,5
TRUNG TUYẾN NGUYỄN,Quá ồn ào!,2
Nhật Chiêu Trần,Giao món thiếu nhiều lần,1
Thanhtung Nguyenvan,,5
TOMMY D,,5
Tuan Hoang Minh,,5
Phúc Nguyễn Ngọc Hữu (Quạ),"Thức ăn thơm ngon, nóng giòn . Dịch vụ tốt . Không gian sạch sẽ.",5
徐坤裕（Eric）,,4
Trieu Nguyen,Rubbish wifi for a well known brand,1
Lân Nguyễn Thanh,"Chất lượng gà rán rất khác biệt với các nhãn hàng còn lại.
Chỗ đậu oto miễn phí (2 tiếng đầu tiên & có bill ăn tại cửa hàng)
Phục vụ chuẩn mực.

Điểm trừ: WC không được sạch sẽ, có mùi. Cần tăng tần suất kiểm tra, dọn dẹp WC.",5
Newell,I paid for a double McRoyal  😢 not a single,2
Tran Thuy Trang,,5
HuongCam Trinh,"McDonald's đổi mới cách gọi món và thanh toán tự động được bố trí 2 máy đối diện khách hàng có thể chủ động chọn món hơn thanh toán dễ dàng nhanh chóng, nhận phiếu chờ và xếp hàng lấy món, k gian rộng rãi thoải mái, nhận viên vui vẻ nhiệt tình, bãi xe miễn phí khi sử dụng dv ở đây",5
Bảo Nguyễn,,3
Gobalo,,5
Hung Dinh Duc,Bình thường,3
Tư Nguyễn,Thành phố Hồ Chí Minh city,5
WORLPYO PARK,,5
Ngovan Quynh,,3
Dilys_Dung,"Món ăn và dịch vụ đạt chuẩn, nhà hàng đông khách, náo nhiệt thích hợp cho gia đình!",3
Nguyễn Đặng Trí Khang,"McDonald’s tại đây có lẽ là một trong những chi nhánh lớn nhất mà mình biết đến, có nhiều chỗ ngồi, khuôn viên rộng và chỗ giữ xe cũng lớn. Vị trí hướng ra vòng xoay, view khá đẹp để ngắm nhìn đường phố.

Vì là một chi nhánh lớn nên ở đây thường khá đông, ngoài ra thì cũng có line đường Drive Thru để chạy xe vào mua mang về khá tiện.

Như mọi chi nhánh khác thì ở đây cũng có thể tự đặt món và thanh toán ở các máy xung quanh. Về hương vị thì cũng không khác những chỗ khác.

Tuy nhiên, điểm trừ là ở đây khá đông, nhà vệ sinh không sạch, có mùi và ở quầy line chạy xe hay có nhiều người tụ tập chụp hình.",4
Đỗ Trọng Dương,,5
Sangchul Park,간만에 햄버거 먹고 싶어 갔네요,4
Do Minh Phuong,"Chắc do mình thấy ko hợp với vị gà mặn, ăn ngán.",3
DEUK YOUNG CHOI,주말이라 가족들이 모여 즐겁게 식사함. 실내엔 빈 자리가 없을 정도로 손님이 많음,4
Quoc Trung,,4
1045_ Huỳnh Lâm Cát Tường,,4
sang thanh,,5
Takashi Matsuoka,サンドイッチ類のドレスなど合格。日本のいいレベルの店と比較しても遜色ない,4
Toan Nguyen Duc,Good for parking,4
じろうぽんじろ。,"ベトナムのマクドナルド1号店。駐車場（駐輪場）が広いので子供とよく利用します。バイクでドライブスルーできます。だいたい土日はいつもいっぱいです。マクドナルドなので材料、調理方法同じ、
味は世界共通。アジア圏だけのCOM（ごはん、ハンバーグの弁当）　もあります。2階席もあり子供の遊ぶスペースもあります。店内はピーク時間が過ぎるとそこそこ掃除してます。テーブルが汚いとか店員が暇そうにしてるとかコメントがありますが海外では普通です。しかもファストフード店。テイクアウトする時に2回くらい商品入れ忘れがあったけどね。
2022/2/16追記
最近ポテトのLサイズ買ったら半分しか入ってなかった。詐欺。これはないでしょ。ちょっと忙しくなったらすぐ仕事が雑になるのは直らないのか。毎度の商品入れ忘れも。
2022/12/10追記
最近ポテトL,M共にこんな感じ。グエンフエ通りの店はちゃんと入ってるのに。",4
Duy Phong,,5
Shadow “Lagging”,,4
Ranmay Ghosh,,5
Johnnie Tien Nguyen,,5
ANH VŨ LÊ,,5
Nguyen Hoang Hoai Anh,,5
Thảo Nguyên,,4
Đỏ Đỏ,Bing chilling 🍦 ngon :))),5
Long Vũ,,5
Tung Vo,,5
Sơn Hồ Bảo,Không gian thoải mái! Đồ ăn và dịch vụ thì bùnh thường,3
VĂN MẠNH HÙNG,,4
Thedung Pham,,5
Dũng Trần,,5
Hoàng Lê Giang,Good for drive through,5
Amirey Sanchez,Fast and clean,4
가랑비남편,Good enough!!,5
Truong Doan Xuan,,5
Dương Thanh Phong,"Cơ sở vật chất xuống cấp, quá ồn.",2
Daniel,,5
Lam Trúc,,5
Thái Hòa Nguyễn,"Không gian thoáng mát, phục vu chu đáo",5
Khoi Trong Nguyen,,4
An Nguyễn,,5
Tam Tam (Tammy nè),"Hình như là quán McDonald lớn nhất tp. Vị trí đẹp, bài trí thông minh, hiện đại từ chỗ gửi xe, lấy xe đi về… đặt đồ, ăn tại chỗ…đều rất nhanb chóng.

Tại đây có khoảng 5 máy tự order đồ trong cửa hàng, 3 máy order ngoài cửa hàng - dành cho khách ghé qua đặt và mang đi, đứng ở ngoài, chờ order là ghé cửa lấy đồ, ko cần vào trong, cực hiện đại và thân thiện.

Đồ ăn ko cần nói rồi, các bé nhà m rất thích, thi thoảng ăn tại chỗ còn được phát tranh và màu tô nữa.",5
bii chen,價格適中 餐點中規中舉 但生意超好 總是人滿為患,5
Trung Nguyen,,4
Châu Phạm,,4
Ngọc Phùng Hoàng Anh,"Phong cảnh đẹp ,chổ để xe thuận tiện",5
0447_Nguyễn Hồ Duy Khang,,5
Bảo Hồ,"Đến lúc chiều nhưng hết gà, muốn ăn thì đợi 30p, chỉ còn Hamburger và gà viên.",4
pham thong,"Thương hiệu nổi tiếng! Phong cách Mcdonald’s m

O",4
phuoc dien Ho,,4
Tori Houllier,"Nhân viên ăn nói mất dạy. Vui lòng xem và dạy lại nhân viên. Chuỗi của hàng quốc tế, đừng cư xử như ng vn.",1
Bach Tran,,5
duc truong,,4
Quang Trung Lê,,3
Công Ty cho thuê xe 777,"Vị trí tốt, khách hàng nhiều, thức ăn fast food vậy là OK, chỗ ngồi thoải mái có ngoài trời...",5
Anh Pham,"Nhân viên đông nhưng thái độ phục vụ ncl, coi thường khách hàng.",1
Levan Hoc,,4
芸嵋,,1
Minh Điệu Trần,,5
Long Phan,,5
Thành Nhân Nguyễn,,5
Tài Vũ,,5
Khắc Tường Bùi,cũng được,5
Nam D.,,5
wahaha matilda,,4
Hang CoCo,"Quán nằm ngay vòng xoay Điện Biên Phủ, hướng Q1 về Bình Thạnh.
Hệ thống McDonald, quán có 2 tầng, không gian rộng rãi, sắp xếp ghế phù hợp
Thích gà vs kem ở đây ghê",5
Quốc Thịnh Trương,,5
Duc Hanh Nguyen,Tạm được...,3
Mason Thompson,Ko giăn đẹp nhân viên nhiệt tình chu đáo,4
Tung Dang Huu,,4
giang nguyen,,5
Jade Villegas,,5
Jesse Nguyen,,4
Khánh Vân,"Chồi ôi, mình đi ăn mà mình ấn tượng với anh chị nhân viên lắm luôn. Anh chị xinh trai đẹp gái mà còn thân thiện nhiệt tình xĩu luôn. Hẹn sẽ đi ăn McDonald's dài dài nè.  💜👩‍🦽💨",5
EUISOO NA,,3
Robert Szeremeta,,4
Quang Thoai Tran,,5
Bình dương Taxi,"Tôi rất hài lòng về địa điểm này,lịch sự,vui vẽ,thoải mái rất ok.",5
Phi Trân,Kiến trúc đẹp. Gần gũi,5
Huynh Nhu,gud,5
Ted Tuan Anh,Rất ok,5
Dish Yang,麥當勞真是偉大的發明！天天吃天天開心！,5
Uu,停車方便，店內桌子不太乾淨，工作人員專業度不足，這家分店的炸雞特別多汁美味！,4
Tuyen Tuyen,,5
Yêu chợ truyền thống Việt Nam,,5
GIA HUNG TRAN,,5
Thanh Long Huynh,,5
lao lao,,5
꽁꽁,"우리나라 빅맥이랑 크기가 좀 달랐음
좀 작은데 더 맛있어요.... 1일1맥날 하고싶었는데
ㅜㅜㅜㅜㅜㅜㅜ",5
Khuong Nguyen Tan,Have a delicious meal.,5
Đồ Gia Dụng Việt,,5
Cao Huy Nguyễn,,5
Dave Mitchell,"It's Macdonald's, should not need a review. Same same every where. When you're in a rush or hungry as...",2
Wilson Li,"Well have nothing to say about the food, definitely is great.  But I must say their service are excellent.  Really follow first come first serve not like other McDonald's in other district. (During busy time as well, fast service)
I guess the day I went were crowed with people, therefore the toilets were kind of dirty and smelly (still acceptable due to amount of customers in the restaurant) !!!  It could be worse from other McDonald's even not much people!!! Keep up the good work!!! Will definitely go back and eat!!!",5
Vu Hieu,,5
Hồng Anh Nguyễn,"Đây là một trong những thương hiệu tôi thích nhất, cảm ơn vì một bữa ăn nhanh ngon",5
Drap Giuong Han Quoc,,4
Trinh Đỗ,,5
Liching Pete,,4
Nguyễn Thế Vĩnh,,5
Thanh Trung Bui,"Sạch sẽ, rộng rãi, thoáng mát",4
Le Quang Hung,"Tôi luôn sử dụng dịch vụ go through & take away 24/7 service. Dịch vụ tốt, nhân viên tư vấn nhiệt tình và gần gũi.",5
Boon Tiong Tang,Nice place,5
Vuong Do Quang Tien,,4
Nhật Long Nguyễn,,4
vinh Ton,,4
Tarun Madan,,4
flower ngoctrang,,2
TRINH SON,,5
uyen nguyen,Tốt,4
戸井田正人,,4
hoang nghia dang,"Dịch vụ tốt, đồ ăn bình thường",4
アッシュママ,清潔でよかったが、オーダーしたものが来るまで、遅かった。,4
Nick Tan,,5
NAM NGUYỄN SC,,5
linh phuong,Tốt,4
Hien Thu,"Nhân viên đào tạo không chuyên nghiệp bán hàng toàn giao thiếu đồ ăn, còn thua mấy cửa tiệm tỉnh lẻ. Chắc ko biết đếm số.",1
Nhã Xuân,Ngon,5
Minh Huynh,Good,5
FurnitureQc,Very dirty and smelly toilet for last 8 years . This is first mcdonald in vietnam and what the manager doing ? Make customer eating mcdonald beside smelly toilet ?,1
MIDI,,5
Quân Đoàn,"Thái độ nhân viên dọn dẹp cực kì tệ, kêu khách qua chỗ gần tolet ngồi để dọn dẹp những chỗ khác.
Bad experience with cleaner when she told us to have a dinner near the WC so she could clean the other place.",1
Cường Lương,,5
Jezk Sot,,5
YH Kim,"주차하기 편한 곳
간단하게 커피한잔하면서 점심을 먹을 수 있음",5
tam tran,,5
Huu Nghi Ho,,5
My Thảo,Tải app MC Donald sẽ được 1 phần gà rán + khoai tây free. Nhân viên cũng ko tỏ ra khó chịu khi mình dùng mã ăn phần free. Cái nhà Lotte nào đó cũng tặng 1 phần gà rán. Mà nom bộ NV khoa chịu khi quẹt mã lắm.,5
be Far,,5
DucLong Bui,,4
Dũng Phan,,5
柯裕威,👍,4
YoungLife TiVi,,4
Nhung Phùng Thị,,5
Nguyễn Văn Việt,,5
William Phung,,4
Hân Nguyễn,Phục vụ quá tệ. Có trải nghiệm k tốt.,1
An Võ,trang trí rất đẹp và nhân viên phục vụ tốt,5
bui huuhau,,3
TAKO LE,"Ngon, đóng gói cẩn thận. Hôm nay có khuyến mại mua 1 tặng 1 trà kem sữa",4
