Name,Review,Stars,Sentiment
Thanh Pham Thi Ngoc,"Ở đây thì địa điểm rất ok nha, có view ngắm vòng xoay, rồi có chỗ cho các bạn nhỏ nữa",5,Positive
Long Nguyễn,Ok,5,Positive
Quoc Dung Duong Tran,Khu vực bên ngoài rất hôi mùi thuốc lá ... đầu lọc xả đầy khu vực bảo vệ ngồi...,3,Neutral
Duy Trần Nhật (duytn),"Giá ổn, dịch vụ tốt, có chỗ đỗ xe ô tô thoải mái.",5,Positive
Tuấn Tường Trần,Very good,5,Positive
Nguyễn Khoa,Cả cửa hàng chỉ có 1 nhà vệ sinh luôn trong tình trạng kẹt. Quá tệ,1,Negative
Quốc Cường,khá oke,5,Positive
Vũ Quang Huy,"McDonald's đầu tiên của Sài Gòn nên mọi thứ đều tốt nhất, chất lượng món ăn tốt, cafe rất rất ngon, nhân viên rất dễ thương và thân thiện. Đặc biệt mua mang đi nhanh chóng và tiện lợi, nhất là dành cho xe hơi.

Giá cả cũng hạ bớt rồi, không còn cao như lúc mới vào Việt Nam, giá hiện tại tương đối tốt so với mặt bằng các cửa hàng thức ăn nhanh.",5,Positive
Tuan Vo,Đồ ăn không vệ sinh. Ăn xong đau bụng,1,Negative
Hoa Nguyen,"Đồ ăn hơi ít , gia hơi cao. Khu chơi trẻ em ko còn rộng như trước.",4,Positive
sing sing,據說是全越南🇻🇳第一家麥當勞🍔,5,Positive
NGUYEN NHAT,"Hay dẫn tụi trẻ con qua đây mua phần Happy Meal cho mỗi bé rồi lên lầu 1 ăn. Ở đây có khu vui chơi cho trẻ em khá tiện cho việc trông trẻ, nhà vệ sinh sạch sẽ, bãi đậu xe miễn phí. Các bạn cùng lớp của con hay tổ chức sinh nhật tại đây.",5,Positive
Hoàng Quân Phạm,Cà phê vẫn tệ như mọi khi. =)),5,Positive
송민제,배달 주문했는데 콜라가 빠져있음,1,Negative
Khoa Kieu (Local brand Teeholic),"Đồ ăn thì ngon, vị trí cũng đẹp, rỗng rãi đễ oto thoải mái, mỗi tội chỉ có 2 wc. Wc phía trên hay khoá do có tiệc sinh nhật chỉ còn lại phía dưới nên chờ đợi đi wc lâu, mình đã chứng kiến nhiều người có thái độ rất bực khi phải chờ đi wc, mong ban quản lý xem xét việc này.",4,Positive
NƯỚC ORGANIC _TỐT HYDROGEN GIÀU ION KIỀM,LÀM QUEN VỚI GOLF - HỌC PHÍ DÀNH CHO SINH VIÊN,5,Positive
Minh Tran,Original fried chicken needs to be served in 30 minutes. Is it a way fast food served,5,Positive
Ha Nguyen Manh,Very good,4,Positive
Ngo Trung Hieu,Đồ ăn có sinh vật lạ,1,Negative
Đức Nguyễn Hoài,Mọi thứ khá tuyệt vời cho người đi oto,5,Positive
Tuyền Kim,"Thật sự mà nói là quán phục vụ rất tệ và trải nghiệm quá là ấm ức. Nhân viên thì xem khách không ra gì, hỏi a ơi dụng cụ ăn uống đâu ạ, thì a đầu tiên là ngó lơ và coi như hông biết gì, và mình tiếp tục hỏi a thứ 2 thì a bảo kìa bên kìa kìa, trong khi đó tụi mình hông thấy nên mới hỏi lại. Và cuối cùng là tụi mình ăn nhưng hông có dụng cụ ăn ( nois trắng ăn bóc đó ạ). Nếu như hai a nhân viên đó mà đi ra ngoài ăn và gặp tình huống như vậy thì sẽ thấy thế nào ạ. Hông lẻ nói là miếng ăn là miếng nhục chứ ạ. Bữa ăn tồi tệ nhất mà tụi mình từng trải nghiệm.",1,Negative
Phạm Nguyễn Như Ý,"Nhân viên thái độ lòi lõm, phục vụ tệ, không có dụng cụ ăn uống cho khách ngồi lại, hỏi lại nhân viên thì nhân viên bơ, không trả lời.",1,Negative
Lam Ngoc Han,"Nhân viên phục vụ và quản lí điều tệ, không quan tâm khách, không có dụng cụ ăn uống dành cho khách ngồi tại chỗ, khu vực để tương không sạch sẽ.",1,Negative
Tiên Nguyễn,Nhân viên hời hợt với khách hàng .Khách hàng hỏi nhân viên không take care thái độ khó chịu khi khách hàng order,1,Negative
Thanh phong Nguyễn,Không quá ấn tượng lắm,5,Positive
Joh Ny,Thái độ nhân viên không tốt khinh thường khách hàng nói chuyện thiếu tôn trọng với khách hàng,1,Negative
Gia Mẫn Bùi Nguyễn (leobuinguyen),"Chỗ tập trung quen thuộc của mấy ae motor chuẩn bị lên đường & nơi ghé về. Nói chung ổn, đồ ăn khu vực đẹp nên hơi đắt nhưng ko sao, tiện lợ là đc",5,Positive
Pacific Engineer,View bùng binh khá chill (cho người thích nhìn xe cộ qua lại),5,Positive
hoangvietcamera,Không gian mát mẻ,5,Positive
Lê Phạm Kim Dung,"quán đẹp nhưng trên lầu rất rất ồn, mở nhạc rất là to luôn dù mình đã đeo tai nghe vẫn còn ồn :) phòng tổ chức tiệc sinh nhật k cách âm để nhạc lấn ra ngoài âm thanh hổn tạp . mình đi ăn gà nhưng cứ ngỡ đi tiệc cưới ở dưới quê ?",2,Negative
K트루먼,맥도날드 매장중 가장 쾌적한듯,5,Positive
Nam Bùi,Hic say nắng chị nhân viên Mc Donald nhỏ nhắn xinh xắn mà ko biết tên chị 🥹😢,5,Positive
Long Le,The food is good and the staffs are good too! I am good too! Everyone is good!,5,Positive
Hon Chau Hoang,"Lần đầu tiên đến đây, thích nhất cách bố trí bãi đỗ xe ô tô, đến ghé, mua hàng, rồi lái 1 vòng ra ngoài luôn, khỏi phải trở đầu xe",4,Positive
Chip Olt,Wow,5,Positive
Hùng-Ảnh màu Như Mỹ Nguyễn (Cỏ),"Nơi sạch sẽ,lịch sự,thức ăn ngon,kem ngon ! Nhân viên dễ thương,lễ phép!",4,Positive
Pa Chía Bủn (Ẩm Trư Vi Thực),"Quán đáng đến đồ ăn ngon sạch sẽ
Nhất là bích max",5,Positive
Hieu Hoang,Đồ ăn ngon .quán sạch sẽ.,4,Positive
Vy Mai,"Mua mang đi, chỉ cần chạy xe vòng ra phía sau (không cần gửi xe máy) đến khu vực order, có sẵn bảng giá. Sẽ có nhân viên trao đổi ngay về món mình order. Chạy xe lên tren 1 xíu đến ô cửa nhận hàng, ô cửa kế tiếp là khu vực thanh toán (có thanh toán thẻ). Xong nha, đem đồ về ăn thôi. Mình thích vì không phải gửi xe, phục vụ nhanh, nhân viên lịch sự.",5,Positive
張日隆,薯條點大份的但是很多次感覺數量少很多，有一次薯條竟然還沒加鹽，管理真的很有問題,4,Positive
LUCAS,"mỗi lần vào ăn có hoá đơn thanh toán mang ra cho bảo vệ thì ngta vẫn thu tiền tôi cần ban QUẢN LÝ sử lý vấn đề này. Tôi không phải người keo kiệt nhưng cách xin tiền đểu của bảo vệ ở đây tôi thật sự không thích, mỗi cửa hàng khi mở ra sẽ có chỗ để xe cho khách hàng chúng tôi để chứ không phải để chúng tôi vào ăn còn mất tiền thuê chỗ để xe như vậy",1,Negative
Nhiên An,Service not good,1,Negative
정혜영,"라떼 먹었어요 맛있네요 버스기다리는 장소로 가있던곳인데 차못탈까봐 신경썼더니 배가 아플려고해서 맛만보고 더 못마셨어요 맛있었는데ㅜㅜ
분위기는 약간 정신없고 오전이라 맥모닝처럼 한정된 메뉴를 파는건지 찾는 햄버거를 못찾아서 못먹었어요",3,Neutral
Van Huynh Trong,"Mc Donalds đầu tiên của Vn.
Mọi thứ ổn.",4,Positive
Viral Desai,"As it's always good, however all Macdonald should serve at least few items which are Veg or Vegan. They are missing on those customers. After hours it's only POS order and not table service. However that's fine.",5,Positive
Lập Hoàng Văn,Cảm ơn mc cho hai bố con một buổi chiều vui vẻ,5,Positive
Truong Phu Cuong,Great,5,Positive
Luan Vo Minh,"Nice position, at central of hcm city",4,Positive
Ngọc Ánh,cũng vừa vị với đại đa số người dùng tại Việt Nam nhoa quí dị,4,Positive
Đoan Khánh,Kem ở đây thì ngon khỏi phải bàn rồi nhưng có nhiều lúc ko có bàn để ngồi,5,Positive
Hoàng Tú Nguyễn,"Mc Donald’s nằm ngay vòng xoay Điện Biên Phủ, thuận tiện nhất là tạt xe vào là có ngay bãi giữ xe rộng bên phải. View ở đây khá đẹp, không gian rộng rãi rất thoải mái. Tuy nhiên việc đặt mua khá rườm rà. Hơi mất thời gian, dù có sự hỗ trợ của nhân viên.",3,Neutral
Gary Ho,Dining in is Ok. After finish the lunch and order some take away that really annoying. We have our bill with number. There are board with the number of processing and ready. When my number ready and i go to retrieve my take away.. the guy really rude. Sao? Sao? Sao?! I just saw my number on the sign said is done and i go retrieve my take away. What the issue? Then the guys there said rudely CHO KIEU SO. McDonalds have issue or the staff have issue? If the sign not in use better not use. Not used to get scolded while buy something. My kids shocked too.,1,Negative
Toàn Nguyễn,"Không được phục vụ món ăn theo yêu cầu rất nhiều lần, cảm giác rất khó chịu",1,Negative
Tuệ Mẫn,Mua mang đi hoặc ngồi lại đều có cảm nhận thoải mái và tin cậy,5,Positive
Critical Thinking,Không giam đỉnh của chóp rộng rãi thoáng mát. Đồ ăn ngonnnnn. Bị cái hay đông nên đôi khi phục vụ chậm. Mình ghé miết luôn á,5,Positive
Changjin Ha,에어컨 잘 나오서 시원해요,5,Positive
Hoàng Trí Lê,"Rộng rãi, đông khách",5,Positive
thanh Ong,Đồ ăn khá là ngon đối với người yêu t,5,Positive
DAEHEE KIM,"It's very clean, spacious and nice.
Of course, it tastes good, too.",5,Positive
nguyen thi truc Giang,"Thức ăn ngon, kem ngon, có bãi xe hơi và xe máy tốt",5,Positive
Bin Trần,"Phần ăn như ảnh, đồ ăn và thức uống của Mc thì không bàn cãi, khá ok và vừa vị với đại đa số người dùng.

Chi nhánh này ngay trung tâm nên dịch vụ phục vụ cũng như nhân viên khá tốt và thân thiện, có các máy Order tự động cho mọi người thao tác dễ dàng hơn nếu đông khách & có staff hướng dẫn tận tình.

View trong và ngoài khá ok có thể nói chuyện cà phê cùng bạn bè cuối tuần, họp mặt và mọi người nhớ giữ bill khi gửi xe nhé 💋",4,Positive
Phạm Thành Trung,"Phục vụ nhanh, không gian rộng rãi, sạch sẽ, ưng nhất là chỗ để xe ô tô khá thoải mái 😅",5,Positive
Thiết kế in đẹp tại Tây ninh “Mr. innhanhtayninh”,Order theo cách công tự bấm món. Nhanh và dễ,4,Positive
rembmw,"McDonald thì mấy bạn khỏi hỏi đồ ăn ra sao rồi hen, chỗ này rộng rãi thoải mái lắm!",5,Positive
Ben Ngo,"Sometimes, this place is just too noisy to eat in.",5,Positive
Dae N,Everything pretty standard as you would expect,5,Positive
Huu Trong,Hamburger ngon !,4,Positive
li huong,"Ngon , chất lượng không đổi",5,Positive
안재민,24시 라서 새벽에 먹기 좋아요,5,Positive
Kim O. Phan,Super crowded during Friday Lunch,3,Neutral
Thong Nguyen,YOU muts pay 40.000 vnd for2 pack of ket chup and staft. Not wellcome.,2,Negative
Nguyen Hanh,"Đồ ăn, không gian vẫn ổn nhưng trải nghiệm dịch vụ rất tệ. Mình và bạn đi buổi tối ngồi tầng trên vì tầng dưới đã kín người, lúc chuẩn bị ăn xong thay vì nhân viên đến nhắc bọn mình tầng trên gần đến giờ đóng cửa thì ok bọn mình sẵn sàng dọn dẹp đi về vì cơ bản tụi mình kh biết giờ đóng lầu trên của chi nhánh này. Đằng này kh biết bạn nhân viên nào kêu hai bé gái đến chỗ bọn mình rồi nói năng rất mất lịch sự bảo đuổi khách trong khi vẫn còn vài bàn khách gần đó?? Xong lúc bọn mình đang dọn bàn thì có một vài bạn nhân viên vừa dọn dẹp vừa nhìn chằm chằm tụi mình thái độ rất khó chịu. Nói chung bọn mình cũng sơ ý kh tìm hiểu giờ đóng lầu trên của quán nhưng cách xử lý của quán thiếu tôn trọng thật sự, thay vì nhắc nhở thiện chí thì lại lôi trẻ con ra chửi khách hàng? Lúc đó ngoài bàn tụi mình ra thì vẫn còn vài bàn của cô chú khác nhưng thay vì nhân viên đến nhắc nhở toàn bộ thì lại chỉ để con nít đến thẳng bàn tụi mình nói năng lớn tiếng đuổi khách hay do thấy bọn mình trẻ nên dễ ăn hiếp? Với không gian và chất lượng món ăn của một hãng thức ăn nhanh nổi tiếng như vậy mình mong quán xem xét cải thiện lại chất lượng dịch vụ cho xứng đáng để không còn khách hàng nào có trải nghiệm tồi tệ như bị xem thường kiểu này.",1,Negative
Minh Le Khai Minh,"Đồ ăn hợp khẩu vị
Không gian thoáng mát",5,Positive
baophuong huynh,"Đồ ăn ngon, quán có máy lạnh mà ngồi gần cửa nóng mún xĩu, muốn đổi chỗ khác ngồi thì ko còn chỗ",4,Positive
Lê Trí Dũng,Chuyên nghiệp,5,Positive
Đức Thành Nguyễn,"Thương hiệu nước ngoài
Phục vụ chuyên nghiệp, nhanh chóng
Món ăn ngon, phù hợp với trẻ nhỏ và người lớn thích đồ ăn nhanh",5,Positive
anhtuan tothe,"Đúng miếng ăn là miếng nhục vào mua mang về nhân viên lấy tiền xong kệ mẹ khách ko nói một câu nào làm đợi hơn một tiếng đồng hồ ( nghĩ khách đông món ko ra kịp ) đợi lâu quá lại hỏi mới biết phải đưa hoá đơn cho nhân viên khu vực bếp mới lấy được món ăn, một hãng lớn mà quá ngu xuẩn ko đào tạo nổi cách nhân viên hướng dẫn khách hàng ư. Một buổi tối tồi tệ và đầy ấm ức",1,Negative
hoanghai6666@gmail.com hoanghai6666,"Đồ ăn ngon đúng với thương hiệu, không gian thoáng rộng, phục vụ nhiệt tình",5,Positive
Thọ Hoàng,"Nhà vệ sinh hơi dơ và mùi, cần cải thiện",5,Positive
Linh Lê,"Phòng thiết kế tối giản, giường rộng sạch sẽ, mình đặt phòng nhỏ nhưng rất đầy đủ tiện nghi, bonus anh lễ tân thân thiện chu đáo.",5,Positive
ĐINH NGỌC VÂN PHƯƠNG,"Ăn cũng tạm được, cũng như các thương hiệu gà khác. Nhưng dịch vụ và không gian quán thì ok thôi rồi.",5,Positive
Shinobu Kochou,OK,5,Positive
Vinh Nguyen bao,"Thức uống được,",5,Positive
Mahesh jaya gopu,Highly recommended 24 hrs open,5,Positive
Ăn uống và Vui chơi,"Vị trí thuận tiện hẹn hò gặp gỡ, nhiều chổ đậu xe ô tô và xe 2 bánh
Tải App McDonald để nhận thông báo khuyến mãi",3,Neutral
Suhyun,화장실이 너무 더러움,3,Neutral
Nguyễn Thị Lan Anh,"Không gian rộng rãi, thoáng mát, sạch sẽ và view đẹp . Nằm ngay vòng xuyên đi ra quận 1.
Trong cửa hàng, nhiều máy tự order và thanh toán nên rất thuận tiện cho khách hàng lựa chọn món một cách nhanh chóng.  Và bên Mc Donald’s đang có chương trình khuyến mãi cho các bạn lần đầu tải app của hãng về sẽ tặng một phần gà và khoai tây chiên nhỏ. Gà giòn, trong mềm, mình chọn vị cay ăn cũng tạm ổn theo cảm nhận của cá nhân mình. Kem ở đây thì mình không thích vị này cho lắm. App đang có rất nhiều chương trình khuyến mãi và có nhiều combo cho các bạn lựa chọn. Lẹ tay đi ăn thôi nhé mọi người",4,Positive
DannyK Vlogtastic,Terrible customer service. I went there for icecream last night with my woman and ordered oreos icecream but the staff surprisingly said they had no plastic cups for it only plastic cups for standard icecream. When I asked about this they jokingly said my plastic cups are in the ocean. Shockingly poorly trained staff.,1,Negative
Quynh-Nhu Tran,Cánh gà rất ngon. Hamb nhiều sốt quá nên hơi chua.,5,Positive
Vinh Pham,Rất nhiều máy bán hàng tự động,5,Positive
Vinh nomad,"Địa điểm.tập trung quen thuọc của dân biker đi chơi xa. Chỗ giữ xe rộng rãi, sẵn do an nuoc uong và chỗ đi vs",5,Positive
Cao Dinh,#NAME?,5,Positive
Ann Tran,The staffs were helpful and ordering was easy with many seating options. But omg the restroom is so nasty. 🤮🤮,3,Neutral
#NAME?,"Còn chỗ để ô tô mà bảo vệ vẫn để vật chắn để giữ xe ngoài lấy tiền. Vì khách vô ăn ko dc lấy tiền giữ xe nên ko cho để xe vô ăn, mình phải quay 1 vòng mua đem về. Nhân viên trong quầy thì ok",1,Negative
Jessica Le,"Lần thứ 2 mình nhận đơn thiếu rồi nha. Đặt gà mà không có gà, chỉ có khoai tây thì ăn sao đây??? McDonald’s Dakao???",2,Negative
Ярослав Шуктомов,"The facility must be open 24/7.  We arrived from another city, we wanted to drink coffee at 5 in the morning.  We were kicked out and told that they would clean up until 7 am.",1,Negative
Sahana Dhar,Food was good. But Unclean WC.,3,Neutral
Oanh Nguyen,Style fast food nên khá đông đúc. Ăn bằng tay ko có muỗng nĩa. Gà cay khá cay với các bé.,4,Positive
Minh Quân,Còn phải nói gì nữa seo 😄,4,Positive
Bảo Lê,Google,5,Positive
Đoan Minh,An ngon,5,Positive
Tính Nguyễn,"Nhân viên nhanh nhẹn, có món ăn rất nhanh!",5,Positive
Shop Gấu Bông Gấu Teddy - Gauteddy. vn,"Sạch sẽ, ok",5,Positive
Nam Ho Ah,Terrible foods quality. Extremely noisy. Wet and dirty toilets. Cannot believe that Mc Donald could be this bad! No reason to be here again.,1,Negative
CIC CryptoInvestClub,"Not 24h, kitchen closes at 12",1,Negative
Tung Luong,YOUR PACKAGING IS DISGUSTING ONLY ANIMALS WILL EAT THIS FOOD YOU NEED TO HIRE PEOPLE THAT CAN DO A VERY SIMPLE JOB YOUR BUSINESS HAS VERY POOR MANAGMENT IF I CAN GIVE YOU — STARS I WOULD YOU DESERVE 0 STARS,1,Negative
binh tran thanh,Tiêu chuẩn McDonald's.,5,Positive
Nguyên Trần Xuân Khôi,Ko dc mát lắm,3,Neutral
Nguyen Linh Truong,Good service 👍!,5,Positive
Soo Soo,"Khi oder tại máy mình có hỏi nhân viên là xuất hoá đơn rồi đem voucher tặng burger đến quầy áp dụng đúng kh, chị nhân viên đó bảo dạ. Nhưng khi mình đem đến quầy thì chị nhân viên khác lại bảo là không áp dụng cho mình, nhưng voucher kem thì được :)))) làm việc chán 😏",1,Negative
Minh Hoàng Nguyễn,"Vô quán ắn với uống coffee mà ngồi từ lúc ăn đến lúc về chả thấy nhân viên dọn bàn. Bà ghế luôn trong tình trạng nhết nhác.
Hôm nay 18/5 tôi lại ra nơi quen thuộc và mọi thứ xung quanh tôi lại toàn là rác và rác. Hơn 30 phút rồi mà mọi thứ vẫn không có sự thay đổi",1,Negative
Tho Tran Phuoc,"Tiện lợi, nhanh chóng nhưng hơi bẩn",4,Positive
Minh Phương Phạm,Có khu trẻ em,5,Positive
Nguyen khacvu,Địa điểm thoải mái,4,Positive
Uyen Pham,Hiện đại và hỗ trợ đồ ăn rất nhanh,5,Positive
Thảo Nguyễn,"McDonald ở HCM trước giờ mình chỉ tới đây thui, đồ ăn và phục vụ mọi thứ đều rất tốt. Điểm cộng to bự là anh chị nhân viên siêu nhiệt tình và dễ thương luôn.",5,Positive
Saigon Storage,Hard to resist stopping by to get 50% off a Big Mac.,5,Positive
Duc Pham,"crowded, typical Mc donald, various types of drinks, convenient ordering, lot of table and spacious, broad view at the DBP round about, open 24/7 - good for late night hanging out,",4,Positive
Khoa Tran Dang,"Khuôn viên rộng rãi, thoáng mát. Phục vụ nhanh. Mình đặc biệt thích ngồi trên 🚗 đặt hàng mà không phải xuống xe",5,Positive
Thanh Minh,Ok...nhanh,5,Positive
Khuong Minh,"mình đi ăn ở đây cũng mấy lần r ,hôm nay đi ăn mình có mặc đồ hơi bần một xíu, lúc ra về mình có lỡ đá trúng cái bảng cấm do đang nch với chị đi cùng mình, mấy bạn nhân viên thấy mà k có ai lại hỏi han gì hết, mấy bạn đứng đơ ra luôn, mình cũng đơ luôn 5s rồi tự nhặt lên đưa lại bạn nv, bill mình ăn cũng kh có bao nhiêu hết mà thái độ quá tệ, sẽ k có lần nào mình đi ăn tại Mc Donald's nữa, THÁI ĐỘ NHÂN VIÊN QUÁ TỆ",1,Negative
Hải Hà Lại,Quá tệ! Ngoài cái mác McDonal’s,1,Negative
ati ati,"Nhà hàng rộng rải  nhiều món gà ngon, và Cafe ngon, bãi xe rộng rải",3,Neutral
thành nhân ngô võ,Ok,5,Positive
Nguyễn Hoàng,Địa điểm tập trung của anh em moto,5,Positive
Ngan Bi,Đậu xe hơi. Thoải mai Mat mẻ,5,Positive
trọng nhân nguyễn,Highly recommend,4,Positive
florent chaudemanche,C'est mac Do. Le service est super. Ils sont rapides et efficaces. Je n'en ddmande pas plus. Après c'est de la nourriture Mac Do. Rien de spécial à dire.,3,Neutral
QUI NGUYEN,Phục vụ nhanh,4,Positive
tuấn thanh,Ý kiến nhiều người đang đứng xếp hàng chờ thanh toán.có vài người vô ý thức chen lên tính tiền trước.vậy mà nv kg nói gì vẫn tính tiền cho người đến sau.đề nghị nv xem lại nhé,5,Positive
王偉銘,一杯MC cafe，一個美好的早晨，👍👍👍,5,Positive
Nguyễn Đỗ Đức Minh,Ngonn,5,Positive
vinh tu,"This place has been better. Lack of staff caused lack of decent service like refilling sauces, cleaning.",3,Neutral
Tien Dung NGUYEN,"Quán có chỗ đậu xe máy và cả oto (miễn phí nếu gọi đồ ăn trong quán), lúc mình tới thì quán rất đông khách. Có màn hình cảm ứng gọi món tính tiền, hoặc mua và thanh toán tại quầy, có thể nhận đồ ăn tại quầy hoặc nhân viên bưng ra.",4,Positive
Trong Tran,Rất tốt,5,Positive
Hải Hà Hồng,"Không gian rộng rãi thoáng mát,có nhiều chỗ đậu xe hơi,thích hợp tổ chức sinh nhật cho trẻ em",4,Positive
Tú Trương Công,"Khá rộng 1 tầng. Có nhiều máy tự order.
Có nhiều chỗ ngồi",4,Positive
Thái Ngọc Thuần Lớp 3/1,"Mang đồ ăn ra cho khách, không lần nào đủ món trên hoá đơn. Khách phải tự đi lấy món thiếu, bánh mỳ ngọt không làm nóng cho khách. Nhân viên mang đồ ăn đến cũng không lấy món cho khách, để khách tự đi",2,Negative
Tuấn Hiệp Trần,"Như bao cửa hàng McDonald’s khác.
Khác biệt lớn là điềm mọi người tập trung truớc khi đi tour.",4,Positive
Ngoc Truong,Cơm mắm tỏi gà cay siêu ngon. Tải app sẽ có khuyến mãi nhưng đi ăn theo nhóm lợi hơn,4,Positive
Dao Ngoc Tuan,Dịch vụ ok kiểu USA,5,Positive
Nhi Huỳnh,"The food is delicious, the staff is friendly.",5,Positive
8674_ Lê Anh Thư,"Trải nghiệm tệ. Nhân viên thì ok nhưng đồ ăn xuống cấp hẳn nha. Burgers thì khô miếng bánh như để qua ngày lâu r. Nước ngọt mình mua size nhỏ và size vừa. 1 li nghe mùi mốc và như mùi nước không tên lm từ đá tan ra ấy, 1li thì nhạt ko có nổi ga luôn . Gà khô cũ ko như ord chi nhánh khác về Tệ!!!!!!! Đặt app khác ăn tại quán vậy trời!",1,Negative
BIG PRO HD PHIM,Tốt rất tốt là đằng khác,5,Positive
Quang Đặng,"Cửa hàng thức ăn nhanh, chủ yếu hamburger và gà rán, mức giá tầm trung, phục vụ tốt, có hệ thống Drive-thru bạn có thể order và nhận thức ăn mà không cần vào quầy",4,Positive
tuan gordexus,WC chưa sạch lắm,4,Positive
Altinho Dourado,"Staff very bad, no manner how to talk to customer. I work as pilot. If anyone has problem. Don’t judge come her and see people don’t have manner. In Vietnam they cannot have a drive thru also cause they cannot deliver fast.",1,Negative
Huynh Xuan Nhan,"Ngày cuối tuần rất đông, nhưng đồ ăn ra vẫn rất nhanh nhé! đồ ăn rất OK.",5,Positive
Ngọc Tấn Nguyễn,"Quick service, nice attitude.",5,Positive
thinh nguyen,"Đồ ăn cũng chấp nhận được, vị trí thuận tiện cho mua mang đi",4,Positive
Chi Bảo Trần Lương (Delyse),"Không gian đông đúc, ồn ào, nhiều trẻ em, chỉ có 1 nhà vệ sinh chung nam nữ, bãi xe ok. Thức ăn ổn, mang ra còn nóng.",4,Positive
Thành Đạt Huỳnh,"Ngày 2.4 mình có đến đây dùng bữa, khi vừa bưng đồ ăn lên lầu, mình có để đồ ăn xuống, k hiểu lí do gì, do mình khác người hay mình làm gì sai, có 1 bạn nhân viên, cứ đi qua đi lại liếc liếc nhìn mình, 3 4 lần như vậy, làm cảm giác nhưng mình đến ăn làm bạn đó khó chịu vậy, theo mình nhớ bạn nhân viên này nhuộm tóc màu tím hay xanh tím gì đó. Mong là lần sau đừng có liếc khách hàng.",2,Negative
Huy Thái,Good,5,Positive
Hau Vu,"Dich vụ rất tốt, đồ ăn ngon",5,Positive
Thuong Nguyen,"Một trong hai cửa hàng McDonald mở 24/24 ở Sài Gòn. Bãi xe đủ lớn để bạn có thể ngồi lại dùng bữa, hoặc có thể mua thông qua drive thru.",5,Positive
Romain Gouttefangeas,Nice restaurant in global ! Like it 👌,4,Positive
Richard Ibarra,Always a great late night go to,5,Positive
Hoang Trung Kien,"Bảo vệ giữ xe máy vào lúc 13h30 ngày 28/03/2023 ăn nói mất dạy, thái độ bất lịch sự với khách hàng!",1,Negative
Benjamin Zindel,"Basically I like that place because they are open 24 hours every day and I also order there regularly.

Tonight I went on-site and they severed a friend of mine this chicken. We claimed that it’s not fully cooked, but three people (including the manger) told us that it’s cooked enough. From my point of view it’s not, that’s why I give only 2 stars. You can judge by yourself",2,Negative
Dat Phan Y,"Wf chán lắm, không bao giờ chạy nổi cái trang để bấm kết nối cả.",1,Negative
Phin Phin,lý trương ngồi tám khuya.,4,Positive
Đỗ Chi,10₫,5,Positive
Nhật Trường Nguyễn Đình,"Tôi đã đến McDonald's này vào một buổi trưa để thử các sản phẩm mới và trải nghiệm của tôi khá đáng nhớ. Nhà hàng được trang trí đẹp mắt và tạo cảm giác sạch sẽ và thoải mái cho khách hàng.

Nhân viên phục vụ nhanh chóng và thân thiện, họ luôn sẵn sàng giúp đỡ và tư vấn cho tôi trong việc chọn món ăn. Tất cả các món ăn đều được chế biến tươi ngon và đảm bảo vệ sinh an toàn thực phẩm.

Tuy nhiên, tôi cảm thấy giá cả của McDonald's khá cao so với các nhà hàng fast food khác trong khu vực. Ngoài ra, đôi khi nhà hàng có thể khá đông đúc và bạn sẽ phải chờ đợi trong hàng để đặt hàng của mình.

Tổng thể, tôi rất hài lòng với trải nghiệm của mình tại McDonald's này và tôi sẽ khuyên bạn đến đây nếu bạn đang tìm kiếm một lựa chọn ăn uống nhanh và tiện lợi. Tuy nhiên, bạn cần phải sẵn sàng trả giá cao hơn so với các nhà hàng fast food khác.",5,Positive
Alexandre TRAN,ce lieu peut partager avec les amis quelque échange sur une table tranquille,4,Positive
Lim Chong Han,Great pit stop for travellers. Easy to call a grab as it's so conveniently located too.,5,Positive
Tri Truong (Dat's Vlog),"Today I ordered 2 McRoyal Deluxe with extra sauces, triple pickles and extra onions. But both burger came with no extras at all, and very soggy, so i guessed they forgot and ignored the extras. After finishing the meal 1 staff in an ""ao dai"" came and checked my bill. She apologized since the staff mistakenly gave me 2 wrong burgers. She offered me new burgers, or a voucher for a free burger next time. I denied all and said its all ok. She was very friendly and washed away my disatisfaction (i dont have her name). I told her i am totally fine, so she went away, but she came back with an ice cream for me. This made my day and i have rarely seen such a care, despite dining in many places, facing way bigger mistakes where they wouldnt even care about it. Kindly help to convey my deepest thanks to that girl im the white Ao Dai and pony tail :)",4,Positive
Đạo Nguyễn Quang,"Món ăn ở đây khá ổn, nhưng hôi mùi cóng hôi mùi",5,Positive
Hậu Nguyễn Phúc,Need to check Restroom everytime. Not Clean,2,Negative
Huy Tran,"Ổn , nhưng thức ăn nhanh mà ở vn zậy hơi mắc",5,Positive
Tường Đặng,Ngon lắm,5,Positive
MAI TRINH,Tuyệt,5,Positive
Minh Định,Best place for newbie foreigners,5,Positive
Tuấn Kiệt,Quán khá là đông. Nv phục vụ nhiệt tình,5,Positive
Bình Nguyễn,Rất tốt.  Nên ăn uống tại đây. Shipper Grapfood rất nhiệt tình,5,Positive
Dutrung Dang,Sạch sẽ và thoáng mát,5,Positive
Bo xamxit,Nơi tụ tập xuất phát của a e moto,5,Positive
Tú Hà Minh,Không gian rộng đẹp,5,Positive
Hùng Nguyễn thanh,Khá OK,5,Positive
